Nombre: OR

Factor	Épocas
0.001	145

Épocas	Error
0	2
1	2
2	2
3	2
4	2
5	2
6	2
7	2
8	2
9	2
10	2
11	2
12	2
13	2
14	2
15	2
16	2
17	2
18	2
19	2
20	2
21	2
22	2
23	2
24	2
25	2
26	2
27	2
28	2
29	2
30	2
31	2
32	2
33	2
34	2
35	2
36	2
37	2
38	2
39	2
40	2
41	2
42	2
43	2
44	2
45	2
46	2
47	2
48	2
49	2
50	2
51	2
52	2
53	2
54	2
55	2
56	2
57	2
58	2
59	2
60	2
61	2
62	2
63	2
64	2
65	2
66	2
67	2
68	2
69	2
70	2
71	2
72	2
73	2
74	2
75	2
76	2
77	2
78	2
79	2
80	2
81	2
82	2
83	2
84	2
85	2
86	2
87	2
88	2
89	2
90	2
91	2
92	2
93	2
94	2
95	2
96	2
97	2
98	2
99	1
100	1
101	2
102	1
103	1
104	2
105	1
106	1
107	2
108	1
109	1
110	2
111	1
112	1
113	2
114	1
115	1
116	2
117	1
118	1
119	2
120	1
121	1
122	2
123	1
124	1
125	2
126	1
127	1
128	2
129	1
130	1
131	2
132	1
133	1
134	2
135	1
136	1
137	2
138	1
139	1
140	2
141	1
142	1
143	1
144	0

Valores de prueba
Entrada	Salida
-111	1
-1-1-1	-1
-11-1	1
-1-11	1
