Nombre: AND

Factor	Épocas
0.001	336

Épocas	Error
0	2
1	2
2	2
3	2
4	2
5	2
6	2
7	2
8	2
9	2
10	2
11	2
12	2
13	2
14	2
15	2
16	2
17	2
18	2
19	2
20	2
21	2
22	2
23	2
24	2
25	2
26	2
27	2
28	2
29	2
30	2
31	2
32	2
33	2
34	2
35	2
36	2
37	2
38	2
39	2
40	2
41	2
42	2
43	2
44	2
45	2
46	2
47	1
48	2
49	1
50	1
51	2
52	1
53	1
54	2
55	1
56	1
57	2
58	1
59	1
60	2
61	1
62	1
63	2
64	1
65	1
66	2
67	1
68	1
69	2
70	1
71	1
72	2
73	1
74	1
75	2
76	1
77	1
78	2
79	1
80	1
81	2
82	1
83	1
84	2
85	1
86	1
87	2
88	1
89	1
90	2
91	1
92	1
93	2
94	1
95	1
96	2
97	1
98	1
99	2
100	1
101	1
102	2
103	1
104	1
105	2
106	1
107	1
108	2
109	1
110	1
111	2
112	1
113	1
114	2
115	1
116	1
117	2
118	1
119	1
120	2
121	1
122	1
123	2
124	1
125	1
126	2
127	1
128	1
129	2
130	1
131	1
132	2
133	1
134	1
135	2
136	1
137	1
138	2
139	1
140	1
141	2
142	1
143	1
144	2
145	1
146	1
147	2
148	1
149	1
150	2
151	1
152	1
153	2
154	1
155	1
156	2
157	1
158	1
159	2
160	1
161	1
162	2
163	1
164	1
165	2
166	1
167	1
168	2
169	1
170	1
171	2
172	1
173	1
174	2
175	1
176	1
177	2
178	1
179	1
180	2
181	1
182	1
183	2
184	1
185	1
186	2
187	1
188	1
189	2
190	1
191	1
192	2
193	1
194	1
195	2
196	1
197	1
198	2
199	1
200	1
201	2
202	1
203	1
204	2
205	1
206	1
207	2
208	1
209	1
210	2
211	1
212	1
213	2
214	1
215	1
216	2
217	1
218	1
219	2
220	1
221	1
222	2
223	1
224	1
225	2
226	1
227	1
228	2
229	1
230	1
231	2
232	1
233	1
234	2
235	1
236	1
237	2
238	1
239	1
240	2
241	1
242	1
243	2
244	1
245	1
246	2
247	1
248	1
249	2
250	1
251	1
252	2
253	1
254	1
255	2
256	1
257	1
258	2
259	1
260	1
261	2
262	1
263	1
264	2
265	1
266	1
267	2
268	1
269	1
270	2
271	1
272	1
273	2
274	1
275	1
276	2
277	1
278	1
279	2
280	1
281	1
282	2
283	1
284	1
285	2
286	1
287	1
288	2
289	1
290	1
291	2
292	1
293	1
294	2
295	1
296	1
297	2
298	1
299	1
300	2
301	1
302	1
303	2
304	1
305	1
306	2
307	1
308	1
309	2
310	1
311	1
312	2
313	1
314	1
315	2
316	1
317	1
318	2
319	1
320	1
321	2
322	1
323	1
324	2
325	1
326	1
327	2
328	1
329	1
330	2
331	1
332	1
333	2
334	1
335	0

Valores de prueba
Entrada	Salida
111	1
1-1-1	-1
11-1	-1
1-11	-1
